mes referencia,ano referencia,id_funcionario,nome,tipo_desligamento,data_demissao,cargo
dezembro,2024,224-76-1085,Corette Grimsditch,Dispensa sem Justa Causa,2024-05-28,coordenador de midia
fevereiro,2024,520-70-3842,Alessandro Fuge,Dispensa sem Justa Causa,2024-03-14,gerente de negocios
janeiro,2024,933-77-4533,Linc Rizzo,Dispensa sem Justa Causa,2024-01-19,executivo de contas
janeiro,2024,915-38-2641,Nyssa Verrick,Dispensa sem Justa Causa,2024-04-20,supervisor de planejamento
dezembro,2024,189-30-9063,Lolly Kemsley,Dispensa sem Justa Causa,2024-12-19,diretor de criacao
setembro,2024,917-78-8674,Lisa Godbehere,Pedido de Demissão,2024-09-28,diretor de criacao
novembro,2024,446-58-3660,Massimiliano O'Finan,Dispensa sem Justa Causa,2024-12-23,diretor de criacao
outubro,2024,801-59-2984,Fleur Hazeldene,Dispensa sem Justa Causa,2024-10-01,supervisor de planejamento
abril,2024,182-53-5784,Natka Goldsbury,Dispensa sem Justa Causa,2024-10-11,coordenador de midia
junho,2024,781-10-4103,Cy Orfeur,Pedido de Demissão,2024-06-05,executivo de contas
março,2024,306-89-7062,Adamo Wyeld,Pedido de Demissão,2024-04-03,gerente de planejamento
maio,2024,501-43-2571,Vincents Carlisi,Dispensa sem Justa Causa,2024-10-28,executivo de contas
abril,2024,198-19-5560,Dannye Born,Dispensa sem Justa Causa,2024-01-11,gerente de negocios
abril,2024,509-19-6942,Malena Fontel,Dispensa sem Justa Causa,2024-06-28,diretor de criacao
outubro,2024,953-62-5184,Johnnie Woods,Dispensa sem Justa Causa,2024-01-05,gerente de negocios
março,2024,671-59-8096,Robbin Marco,Dispensa sem Justa Causa,2024-07-28,coordenador de midia
junho,2024,755-67-1082,Kaylyn Lewknor,Dispensa sem Justa Causa,2024-07-20,gerente de negocios
fevereiro,2024,459-64-5694,Brianne Treslove,Pedido de Demissão,2024-04-14,coordenador de midia
março,2024,336-52-7667,Reeba Capstake,Pedido de Demissão,2024-12-13,coordenador de midia
novembro,2024,721-89-5991,Didi Puttrell,Pedido de Demissão,2024-09-13,gerente de planejamento
dezembro,2024,674-30-3529,Kelsi Purser,Dispensa sem Justa Causa,2024-03-22,supervisor de planejamento
dezembro,2024,939-36-6200,Valentijn Eayrs,Pedido de Demissão,2024-11-16,gerente de negocios
outubro,2024,227-73-1616,Edmon Bernardt,Pedido de Demissão,2024-08-14,executivo de contas
junho,2024,321-32-4566,Cary Musterd,Pedido de Demissão,2024-01-25,coordenador de midia
janeiro,2024,133-78-4993,Dukie Giorgielli,Dispensa sem Justa Causa,2024-08-18,gerente de planejamento
abril,2024,489-70-5893,Helena Rackley,Dispensa sem Justa Causa,2024-05-01,coordenador de midia
abril,2024,499-54-6735,Kit Dennett,Dispensa sem Justa Causa,2024-03-30,executivo de contas
fevereiro,2024,847-12-9478,Demetre Roddick,Dispensa sem Justa Causa,2024-09-03,executivo de contas
março,2024,572-28-4399,Emilia MacGruer,Pedido de Demissão,2024-03-18,executivo de contas
outubro,2024,423-54-2682,Celestine Slaymaker,Pedido de Demissão,2024-04-02,gerente de planejamento
junho,2024,939-33-4058,Chas Hawes,Pedido de Demissão,2024-02-17,supervisor de planejamento
outubro,2024,406-47-6963,Stephenie Surgeon,Pedido de Demissão,2024-06-02,gerente de planejamento
junho,2024,757-20-7670,Gus Vickar,Dispensa sem Justa Causa,2024-01-20,executivo de contas
maio,2024,913-95-4264,Vinson Lodeke,Pedido de Demissão,2024-11-22,gerente de planejamento
julho,2024,476-25-9932,Danella Byk,Dispensa sem Justa Causa,2024-09-08,executivo de contas
janeiro,2024,986-77-1862,Lyndell Whotton,Pedido de Demissão,2024-05-25,diretor de criacao
novembro,2024,864-14-9228,Gretel Dracksford,Dispensa sem Justa Causa,2024-10-24,supervisor de planejamento
abril,2024,562-22-5302,Sybil Gerriet,Pedido de Demissão,2024-07-18,coordenador de midia
maio,2024,198-91-1764,Halsey Stockell,Pedido de Demissão,2024-01-24,supervisor de planejamento
dezembro,2024,556-98-7303,Nichole Curthoys,Dispensa sem Justa Causa,2024-02-01,coordenador de midia
janeiro,2024,152-83-7765,Fara Sunderland,Pedido de Demissão,2024-11-30,gerente de planejamento
novembro,2024,446-17-2766,Sol Newns,Pedido de Demissão,2024-07-24,supervisor de planejamento
janeiro,2024,409-68-8050,Cheston Fomichkin,Dispensa sem Justa Causa,2024-04-30,supervisor de planejamento
junho,2024,720-66-8133,Gracia Skehens,Dispensa sem Justa Causa,2024-04-03,diretor de criacao
agosto,2024,384-60-3783,Moreen Castelain,Dispensa sem Justa Causa,2024-01-31,gerente de planejamento
junho,2024,257-95-7142,Jaclin Hordell,Pedido de Demissão,2024-09-25,diretor de criacao
abril,2024,717-68-9565,Ginny O'Fielly,Pedido de Demissão,2024-03-06,supervisor de planejamento
setembro,2024,867-36-1427,Mackenzie Calleja,Dispensa sem Justa Causa,2024-09-14,gerente de planejamento
outubro,2024,814-86-3439,Modestine Masdon,Dispensa sem Justa Causa,2024-06-09,gerente de planejamento
abril,2024,846-25-2922,Lita Elsley,Pedido de Demissão,2024-02-16,gerente de negocios
outubro,2024,153-77-3061,Prinz Burrows,Dispensa sem Justa Causa,2024-05-24,diretor de criacao
novembro,2024,160-35-7740,Fabio Manns,Pedido de Demissão,2024-01-12,supervisor de planejamento
janeiro,2024,732-17-1589,Armstrong Philipart,Dispensa sem Justa Causa,2024-08-16,executivo de contas
setembro,2024,617-95-4183,Slade Guiot,Pedido de Demissão,2024-09-04,gerente de negocios
novembro,2024,780-27-1231,Dulcinea Van der Hoeven,Pedido de Demissão,2024-12-05,coordenador de midia
agosto,2024,713-65-2350,Petra Saltwell,Dispensa sem Justa Causa,2024-02-18,executivo de contas
novembro,2024,458-60-1517,Marcella Blakeston,Dispensa sem Justa Causa,2024-05-15,diretor de criacao
novembro,2024,509-50-3938,Graeme Rubee,Pedido de Demissão,2024-10-29,gerente de planejamento
dezembro,2024,245-84-8315,Hyacinthe Mangan,Pedido de Demissão,2024-04-07,gerente de negocios
maio,2024,310-88-3510,Glynn Rathmell,Dispensa sem Justa Causa,2024-11-04,executivo de contas
outubro,2024,287-97-4978,Gerrie Gergely,Dispensa sem Justa Causa,2024-02-05,gerente de negocios
março,2024,186-52-5105,Gussie Insoll,Dispensa sem Justa Causa,2024-02-18,executivo de contas
setembro,2024,636-40-5007,Delores Proudlock,Dispensa sem Justa Causa,2024-05-06,gerente de planejamento
dezembro,2024,333-54-3390,Kaiser Mikalski,Dispensa sem Justa Causa,2024-06-06,diretor de criacao
julho,2024,220-57-9263,Darleen Bock,Dispensa sem Justa Causa,2024-05-20,diretor de criacao
novembro,2024,127-62-9516,Alfie Lanon,Pedido de Demissão,2024-07-07,diretor de criacao
junho,2024,575-42-6206,Nevsa Lockton,Dispensa sem Justa Causa,2024-05-22,diretor de criacao
dezembro,2024,344-68-8929,Ronnie Gitthouse,Pedido de Demissão,2024-02-16,gerente de planejamento
março,2024,385-22-2574,Gianni Norwich,Dispensa sem Justa Causa,2024-10-19,diretor de criacao
outubro,2024,966-42-2103,Vernor Hayter,Dispensa sem Justa Causa,2024-01-27,supervisor de planejamento
julho,2024,157-33-2465,Ramsay Jannasch,Pedido de Demissão,2024-09-12,coordenador de midia
janeiro,2024,809-99-4049,Shurwood Raynes,Pedido de Demissão,2024-07-30,diretor de criacao
junho,2024,708-61-2809,Carlina Aberkirder,Pedido de Demissão,2024-03-04,gerente de negocios
junho,2024,469-21-7220,Beck Buffin,Dispensa sem Justa Causa,2024-09-24,coordenador de midia
agosto,2024,713-10-1088,Augustine Galletly,Dispensa sem Justa Causa,2024-08-12,supervisor de planejamento
abril,2024,278-63-1266,Tedman Boyton,Dispensa sem Justa Causa,2024-01-28,supervisor de planejamento
fevereiro,2024,409-37-8687,Raye Boother,Dispensa sem Justa Causa,2024-08-15,gerente de planejamento
janeiro,2024,421-26-4584,Lezlie Adam,Dispensa sem Justa Causa,2024-06-22,coordenador de midia
abril,2024,155-45-2058,Corry Hexum,Dispensa sem Justa Causa,2024-10-11,gerente de planejamento
outubro,2024,496-16-9897,Joanne Kleinstub,Pedido de Demissão,2024-03-01,supervisor de planejamento
novembro,2024,926-69-2100,Fancie Sabathe,Pedido de Demissão,2024-10-29,gerente de planejamento
julho,2024,225-49-4640,Isaak Lye,Pedido de Demissão,2024-10-31,gerente de negocios
outubro,2024,724-68-5362,Richie McKeady,Pedido de Demissão,2024-11-25,executivo de contas
abril,2024,754-47-7780,Tome O'Curran,Dispensa sem Justa Causa,2024-02-09,diretor de criacao
setembro,2024,372-47-1668,Dominga Pavese,Dispensa sem Justa Causa,2024-09-24,gerente de planejamento
fevereiro,2024,408-45-9343,Lula Gooderridge,Pedido de Demissão,2024-01-28,diretor de criacao
agosto,2024,109-93-9478,Lancelot Utting,Pedido de Demissão,2024-05-03,executivo de contas
abril,2024,933-14-2631,Sanson Danet,Dispensa sem Justa Causa,2024-10-15,executivo de contas
fevereiro,2024,266-11-6985,Charil Bentick,Pedido de Demissão,2024-12-27,coordenador de midia
julho,2024,452-38-7202,Pammie Marrett,Pedido de Demissão,2024-06-13,coordenador de midia
setembro,2024,994-95-5688,Klemens Shirlaw,Pedido de Demissão,2024-02-08,executivo de contas
abril,2024,362-69-7254,Meade Adelman,Pedido de Demissão,2024-03-16,gerente de planejamento
setembro,2024,100-73-5946,Denis Doubrava,Dispensa sem Justa Causa,2024-08-25,gerente de negocios
julho,2024,529-18-4224,Wake Guihen,Dispensa sem Justa Causa,2024-07-19,diretor de criacao
agosto,2024,263-50-5078,Shay Barrs,Dispensa sem Justa Causa,2024-02-05,executivo de contas
outubro,2024,805-72-5499,Cammy Callery,Pedido de Demissão,2024-02-09,supervisor de planejamento
fevereiro,2024,632-11-1069,Ettie Burnie,Dispensa sem Justa Causa,2024-06-29,executivo de contas
janeiro,2024,233-97-6486,Marc Ansley,Dispensa sem Justa Causa,2024-04-07,gerente de planejamento
dezembro,2024,902-36-7357,Marcy Hellard,Pedido de Demissão,2024-11-08,coordenador de midia
julho,2024,875-90-9115,Nomi Manuel,Pedido de Demissão,2024-06-28,supervisor de planejamento
julho,2024,841-72-8906,Urson Aslam,Dispensa sem Justa Causa,2024-05-09,supervisor de planejamento
junho,2024,491-90-3432,Annnora Meake,Pedido de Demissão,2024-07-02,coordenador de midia
novembro,2024,279-30-6460,Fallon Osborn,Dispensa sem Justa Causa,2024-08-17,diretor de criacao
julho,2024,769-40-8432,Daniela Sugg,Pedido de Demissão,2024-01-17,supervisor de planejamento
julho,2024,126-16-1324,Aurilia Carvill,Dispensa sem Justa Causa,2024-03-21,supervisor de planejamento
outubro,2024,895-53-7264,Nariko Gooddy,Pedido de Demissão,2024-05-21,supervisor de planejamento
outubro,2024,682-57-2371,Papagena Stirley,Pedido de Demissão,2024-01-23,gerente de negocios
setembro,2024,276-99-4442,Sibylle Bohl,Pedido de Demissão,2024-12-30,gerente de planejamento
setembro,2024,272-41-9363,Broddy Tift,Dispensa sem Justa Causa,2024-04-07,gerente de planejamento
julho,2024,457-45-6263,Kaylyn Legion,Pedido de Demissão,2024-06-23,supervisor de planejamento
agosto,2024,519-84-6347,Thain Darwent,Dispensa sem Justa Causa,2024-10-15,supervisor de planejamento
dezembro,2024,568-46-1961,Dukey Saur,Dispensa sem Justa Causa,2024-03-22,supervisor de planejamento
maio,2024,907-31-1903,Marena Ingliss,Pedido de Demissão,2024-11-15,coordenador de midia
junho,2024,470-62-2009,Sax Gheerhaert,Pedido de Demissão,2024-10-22,supervisor de planejamento
novembro,2024,746-48-5533,Myrah Ciccarelli,Dispensa sem Justa Causa,2024-04-30,supervisor de planejamento
agosto,2024,347-12-2179,Marje Braham,Pedido de Demissão,2024-02-27,diretor de criacao
abril,2024,414-45-8822,Arlena Lyenyng,Dispensa sem Justa Causa,2024-12-03,gerente de planejamento
dezembro,2024,969-89-4310,Boothe Felstead,Pedido de Demissão,2024-09-05,executivo de contas
fevereiro,2024,858-38-6653,Evangelina Lupton,Dispensa sem Justa Causa,2024-12-09,coordenador de midia
agosto,2024,822-41-6553,Weber Fulleylove,Dispensa sem Justa Causa,2024-02-09,gerente de negocios
julho,2024,518-78-2109,Joly Windram,Dispensa sem Justa Causa,2024-10-22,supervisor de planejamento
julho,2024,213-49-2827,Sigmund Elverston,Pedido de Demissão,2024-08-15,gerente de negocios
junho,2024,771-25-2394,Hetty Dallison,Pedido de Demissão,2024-10-27,diretor de criacao
julho,2024,975-21-2773,Timofei Burkin,Dispensa sem Justa Causa,2024-10-09,supervisor de planejamento
dezembro,2024,990-91-9699,Appolonia Mumford,Dispensa sem Justa Causa,2024-08-23,gerente de negocios
julho,2024,901-74-9045,Katerine Meyer,Pedido de Demissão,2024-04-26,gerente de negocios
janeiro,2024,412-89-8551,Ilka Puleque,Dispensa sem Justa Causa,2024-08-24,diretor de criacao
setembro,2024,567-46-2318,Alonso Rea,Dispensa sem Justa Causa,2024-12-28,coordenador de midia
janeiro,2024,751-92-8715,Hermine Pickless,Dispensa sem Justa Causa,2024-04-04,coordenador de midia
julho,2024,825-30-9188,Rorke Brookton,Dispensa sem Justa Causa,2024-04-29,supervisor de planejamento
abril,2024,736-83-1872,Arlina Duprey,Pedido de Demissão,2024-06-21,supervisor de planejamento
junho,2024,268-49-7789,Elsie Jaggard,Pedido de Demissão,2024-10-24,supervisor de planejamento
novembro,2024,196-49-6049,Mair Riggs,Pedido de Demissão,2024-12-26,coordenador de midia
abril,2024,560-85-5176,Fax Climer,Dispensa sem Justa Causa,2024-06-15,coordenador de midia
outubro,2024,721-94-5958,Andy O'Deoran,Dispensa sem Justa Causa,2024-09-13,coordenador de midia
abril,2024,170-40-3897,Yetta Saunton,Dispensa sem Justa Causa,2024-04-10,supervisor de planejamento
outubro,2024,751-96-4769,Glenn Edson,Dispensa sem Justa Causa,2024-03-07,gerente de negocios
março,2024,606-66-4062,Milli Kampshell,Pedido de Demissão,2024-02-24,gerente de negocios
agosto,2024,765-98-7425,Penny Poore,Dispensa sem Justa Causa,2024-01-23,supervisor de planejamento
junho,2024,505-77-3808,Flin Deboy,Dispensa sem Justa Causa,2024-02-15,gerente de planejamento
dezembro,2024,952-67-6911,Claude Waddoups,Pedido de Demissão,2024-05-21,gerente de planejamento
janeiro,2024,793-59-2125,Faber Durant,Pedido de Demissão,2024-11-25,coordenador de midia
outubro,2024,970-16-8097,Yevette Mitchener,Dispensa sem Justa Causa,2024-04-01,diretor de criacao
novembro,2024,521-29-3352,Sibylla Panting,Pedido de Demissão,2024-09-14,gerente de planejamento
dezembro,2024,809-19-9466,Quinn Risdall,Pedido de Demissão,2024-07-04,gerente de negocios
abril,2024,982-69-2841,Ashia Lewknor,Dispensa sem Justa Causa,2024-08-11,gerente de negocios
agosto,2024,126-18-5393,Annemarie Dusting,Dispensa sem Justa Causa,2024-01-27,executivo de contas
julho,2024,687-16-6598,Hollyanne Titterell,Pedido de Demissão,2024-08-31,diretor de criacao
abril,2024,148-99-2686,Klara Keeney,Dispensa sem Justa Causa,2024-03-03,coordenador de midia
setembro,2024,807-68-7236,Seline Degoey,Pedido de Demissão,2024-04-06,coordenador de midia
julho,2024,895-49-3011,Twyla Denington,Pedido de Demissão,2024-08-16,coordenador de midia
setembro,2024,409-63-2808,Quent Besemer,Pedido de Demissão,2024-08-13,diretor de criacao
novembro,2024,629-19-3919,Frants Thieme,Pedido de Demissão,2024-08-16,supervisor de planejamento
maio,2024,285-73-5256,Allsun Callery,Pedido de Demissão,2024-09-07,diretor de criacao
setembro,2024,856-12-5253,Minetta McCarlich,Dispensa sem Justa Causa,2024-09-19,supervisor de planejamento
junho,2024,678-70-4124,Mendel Sadd,Dispensa sem Justa Causa,2024-03-29,supervisor de planejamento
junho,2024,749-56-6939,Lucina Vickarman,Pedido de Demissão,2024-09-15,coordenador de midia
agosto,2024,720-47-1800,Packston Safe,Pedido de Demissão,2024-02-06,gerente de negocios
novembro,2024,797-68-1936,Ardath Coneybeer,Pedido de Demissão,2024-12-03,gerente de planejamento
novembro,2024,965-79-7188,Jobye Arundel,Pedido de Demissão,2024-02-17,gerente de negocios
julho,2024,356-20-9178,Warren Collie,Dispensa sem Justa Causa,2024-09-27,executivo de contas
novembro,2024,846-51-8401,Henry Rolstone,Pedido de Demissão,2024-10-02,supervisor de planejamento
setembro,2024,636-41-4806,Anthea Fink,Dispensa sem Justa Causa,2024-02-23,supervisor de planejamento
maio,2024,624-46-2860,Dario Cherrison,Pedido de Demissão,2024-07-30,gerente de planejamento
julho,2024,702-16-3465,Karine Monroe,Dispensa sem Justa Causa,2024-08-04,gerente de negocios
outubro,2024,262-90-3151,Sutherlan Lavallie,Dispensa sem Justa Causa,2024-03-26,supervisor de planejamento
setembro,2024,556-79-6418,Ulises Camble,Pedido de Demissão,2024-11-20,executivo de contas
julho,2024,565-56-7938,Guss McCulley,Pedido de Demissão,2024-11-30,gerente de planejamento
dezembro,2024,605-98-2079,Corabel Bixley,Dispensa sem Justa Causa,2024-12-30,diretor de criacao
agosto,2024,762-12-2022,Karel Fratczak,Pedido de Demissão,2024-11-18,gerente de negocios
fevereiro,2024,570-48-7571,Renie Wessing,Pedido de Demissão,2024-11-09,diretor de criacao
abril,2024,717-12-2138,Lacy Baldrick,Dispensa sem Justa Causa,2024-09-30,supervisor de planejamento
setembro,2024,817-51-8892,Marchall McGeady,Pedido de Demissão,2024-08-27,gerente de planejamento
agosto,2024,632-74-2716,Elianora Rubke,Pedido de Demissão,2024-10-15,gerente de planejamento
dezembro,2024,500-11-3761,Jada Tointon,Dispensa sem Justa Causa,2024-07-13,supervisor de planejamento
março,2024,953-69-8685,Cathy Tarte,Pedido de Demissão,2024-01-31,executivo de contas
agosto,2024,855-62-3313,Andrus Arbuckel,Pedido de Demissão,2024-05-15,executivo de contas
julho,2024,568-63-1230,Gretchen Pideon,Pedido de Demissão,2024-12-14,supervisor de planejamento
janeiro,2024,531-96-8451,Mignon Hawkswood,Pedido de Demissão,2024-03-01,gerente de negocios
novembro,2024,709-63-4371,Etienne Prevost,Dispensa sem Justa Causa,2024-04-08,coordenador de midia
dezembro,2024,908-77-9934,Ian Milley,Dispensa sem Justa Causa,2024-06-04,executivo de contas
abril,2024,346-20-4594,Ambrose Sweed,Dispensa sem Justa Causa,2024-03-03,executivo de contas
novembro,2024,203-77-6520,Karoly Chinn,Pedido de Demissão,2024-11-15,supervisor de planejamento
junho,2024,524-71-7827,Arabella Ketts,Dispensa sem Justa Causa,2024-05-19,supervisor de planejamento
fevereiro,2024,581-10-5057,Lanie Cossey,Dispensa sem Justa Causa,2024-01-21,gerente de planejamento
julho,2024,453-61-4848,Carson Willeman,Dispensa sem Justa Causa,2024-11-19,supervisor de planejamento
maio,2024,634-30-3002,Urbain Endicott,Dispensa sem Justa Causa,2024-08-31,diretor de criacao
julho,2024,962-17-2934,Gizela Faragan,Dispensa sem Justa Causa,2024-06-02,executivo de contas
fevereiro,2024,377-66-4471,Gabbie Sprott,Pedido de Demissão,2024-07-19,executivo de contas
janeiro,2024,990-91-4739,Lock O'Dyvoie,Dispensa sem Justa Causa,2024-05-12,gerente de planejamento
agosto,2024,980-75-3573,Melvyn Osgordby,Dispensa sem Justa Causa,2024-03-01,supervisor de planejamento
novembro,2024,271-53-7836,Lorne Andryunin,Pedido de Demissão,2024-01-22,executivo de contas
dezembro,2024,873-82-2181,Hillel Fewster,Pedido de Demissão,2024-04-14,gerente de negocios
maio,2024,979-43-9564,Joline Astling,Pedido de Demissão,2024-12-09,supervisor de planejamento
maio,2024,100-32-3668,Thorpe Braybrookes,Dispensa sem Justa Causa,2024-07-17,supervisor de planejamento
janeiro,2024,196-84-3864,Tony Pooly,Pedido de Demissão,2024-01-04,gerente de negocios
abril,2024,872-58-4928,Lindsey Laker,Dispensa sem Justa Causa,2024-06-09,gerente de planejamento
dezembro,2024,439-20-3325,Evania Blincko,Dispensa sem Justa Causa,2024-11-04,gerente de negocios
agosto,2024,204-94-5418,Myrvyn Betjeman,Dispensa sem Justa Causa,2024-08-23,coordenador de midia
maio,2024,940-28-7687,Ninetta Downs,Pedido de Demissão,2024-04-15,executivo de contas
julho,2024,310-70-7195,Katherina Creegan,Pedido de Demissão,2024-03-17,executivo de contas
dezembro,2024,332-45-1048,Meggi Been,Pedido de Demissão,2024-03-18,diretor de criacao
agosto,2024,602-76-2562,Gery Brafferton,Pedido de Demissão,2024-04-28,gerente de negocios
maio,2024,452-22-3574,Bellanca Laydel,Dispensa sem Justa Causa,2024-04-14,executivo de contas
agosto,2024,704-45-1006,Breena Buglass,Dispensa sem Justa Causa,2024-07-30,coordenador de midia
agosto,2024,643-70-5358,Antoine Pinfold,Dispensa sem Justa Causa,2024-07-19,coordenador de midia
julho,2024,624-13-9609,Rosalia Shelly,Pedido de Demissão,2024-06-12,coordenador de midia
outubro,2024,443-92-1962,Shellysheldon McCue,Dispensa sem Justa Causa,2024-06-07,executivo de contas
junho,2024,230-36-7814,Randie Wingatt,Dispensa sem Justa Causa,2024-09-02,executivo de contas
novembro,2024,715-40-4923,Wandie Tremellier,Dispensa sem Justa Causa,2024-08-20,supervisor de planejamento
abril,2024,638-37-2103,Pauline Maskill,Pedido de Demissão,2024-02-08,supervisor de planejamento
dezembro,2024,225-74-9155,Abby Esslemont,Dispensa sem Justa Causa,2024-09-07,coordenador de midia
abril,2024,941-94-9224,Adorne Rodger,Dispensa sem Justa Causa,2024-05-01,gerente de planejamento
outubro,2024,321-85-8150,Angelika Obern,Dispensa sem Justa Causa,2024-12-04,supervisor de planejamento
dezembro,2024,806-31-9719,Dawna Dammarell,Pedido de Demissão,2024-01-10,executivo de contas
agosto,2024,205-45-9204,Colby Leif,Dispensa sem Justa Causa,2024-06-18,executivo de contas
julho,2024,120-27-4734,Joanna Elsop,Dispensa sem Justa Causa,2024-07-30,coordenador de midia
dezembro,2024,751-25-1280,Carrol Wolfit,Pedido de Demissão,2024-11-11,gerente de negocios
setembro,2024,704-10-7545,Eddy Harmour,Dispensa sem Justa Causa,2024-12-09,gerente de planejamento
março,2024,916-24-2649,Gale Vicarey,Dispensa sem Justa Causa,2024-02-24,executivo de contas
abril,2024,969-84-2025,Harlene Good,Dispensa sem Justa Causa,2024-03-07,executivo de contas
março,2024,784-24-6131,Rea Lapree,Pedido de Demissão,2024-09-20,coordenador de midia
maio,2024,608-42-2035,Robina Colvill,Pedido de Demissão,2024-09-27,diretor de criacao
janeiro,2024,377-51-8549,Nestor Weinberg,Pedido de Demissão,2024-01-21,executivo de contas
junho,2024,646-74-6989,Theresina Sackes,Dispensa sem Justa Causa,2024-09-12,coordenador de midia
novembro,2024,992-16-4422,Jojo Billsberry,Pedido de Demissão,2024-04-30,gerente de negocios
junho,2024,616-13-6066,Dell Langan,Pedido de Demissão,2024-11-13,gerente de negocios
abril,2024,476-88-2562,Oralla Rushe,Dispensa sem Justa Causa,2024-05-31,gerente de negocios
outubro,2024,767-11-9877,Tynan Belhomme,Dispensa sem Justa Causa,2024-08-16,gerente de negocios
abril,2024,951-29-1001,Vinson Iddens,Dispensa sem Justa Causa,2024-06-12,supervisor de planejamento
março,2024,906-87-7303,Clemmy Michelotti,Pedido de Demissão,2024-05-02,diretor de criacao
setembro,2024,767-29-2751,Richardo Kieran,Dispensa sem Justa Causa,2024-06-14,gerente de planejamento
julho,2024,128-53-1928,Jerrylee Jobbing,Pedido de Demissão,2024-12-04,diretor de criacao
janeiro,2024,847-58-9884,Man Huzzey,Dispensa sem Justa Causa,2024-08-26,supervisor de planejamento
dezembro,2024,853-82-2373,Kissie Mattiassi,Pedido de Demissão,2024-03-22,diretor de criacao
novembro,2024,828-73-3249,Babbie Lanmeid,Dispensa sem Justa Causa,2024-02-10,gerente de negocios
maio,2024,339-41-3392,Charla Shadrack,Dispensa sem Justa Causa,2024-03-22,coordenador de midia
março,2024,924-80-5235,Mario Cormode,Pedido de Demissão,2024-02-15,gerente de negocios
setembro,2024,927-55-5324,Raphael Bergin,Dispensa sem Justa Causa,2024-09-18,coordenador de midia
julho,2024,244-23-7007,Darice Vernazza,Pedido de Demissão,2024-06-25,coordenador de midia
setembro,2024,110-76-1085,Gabriella Kilbourn,Dispensa sem Justa Causa,2024-11-15,coordenador de midia
março,2024,883-44-1013,Adel Welton,Dispensa sem Justa Causa,2024-01-18,gerente de negocios
janeiro,2024,324-22-6879,Lida Danilowicz,Pedido de Demissão,2024-04-23,gerente de negocios
junho,2024,937-90-7108,Meryl Sketch,Pedido de Demissão,2024-11-06,executivo de contas
janeiro,2024,389-78-7696,Aylmer Stidworthy,Pedido de Demissão,2024-10-05,gerente de planejamento
janeiro,2024,551-47-3273,Erasmus Harlow,Pedido de Demissão,2024-03-13,coordenador de midia
maio,2024,753-95-4936,Avis Parlett,Dispensa sem Justa Causa,2024-10-01,diretor de criacao
agosto,2024,212-49-1373,Faustina Sweeney,Dispensa sem Justa Causa,2024-06-06,diretor de criacao
dezembro,2024,180-97-8625,Jacintha Stutard,Dispensa sem Justa Causa,2024-04-10,gerente de planejamento
março,2024,386-56-5473,Norry Symmons,Pedido de Demissão,2024-02-15,gerente de negocios
junho,2024,499-37-9891,Ailene Coady,Pedido de Demissão,2024-06-04,executivo de contas
dezembro,2024,815-79-6565,Gavrielle Cecely,Dispensa sem Justa Causa,2024-06-15,coordenador de midia
fevereiro,2024,239-13-9578,Angelina Durbann,Dispensa sem Justa Causa,2024-11-10,coordenador de midia
março,2024,955-19-9896,Shae Owens,Dispensa sem Justa Causa,2024-12-18,executivo de contas
fevereiro,2024,949-79-8279,Merrilee Pates,Pedido de Demissão,2024-10-20,supervisor de planejamento
dezembro,2024,307-88-8892,Halimeda Reeder,Dispensa sem Justa Causa,2024-09-02,gerente de negocios
outubro,2024,226-35-9035,Kincaid Grishakov,Pedido de Demissão,2024-07-17,diretor de criacao
maio,2024,584-81-4122,Hayes Kmietsch,Pedido de Demissão,2024-01-30,executivo de contas
junho,2024,598-54-4619,Julita Matteini,Dispensa sem Justa Causa,2024-05-25,supervisor de planejamento
março,2024,331-89-2620,Cori Longstaffe,Dispensa sem Justa Causa,2024-05-12,supervisor de planejamento
maio,2024,702-40-2518,Granny Krikorian,Pedido de Demissão,2024-07-07,gerente de negocios
setembro,2024,815-59-4505,Maggie Vaissiere,Pedido de Demissão,2024-01-10,diretor de criacao
março,2024,812-23-2064,Myrta Wrintmore,Pedido de Demissão,2024-02-04,diretor de criacao
março,2024,183-71-7999,Tibold Knevit,Pedido de Demissão,2024-06-11,diretor de criacao
setembro,2024,102-79-5903,Gayler Duigan,Dispensa sem Justa Causa,2024-03-29,coordenador de midia
dezembro,2024,599-36-7047,Karlan Blaylock,Dispensa sem Justa Causa,2024-07-25,gerente de negocios
setembro,2024,303-73-2516,Jed Kerrod,Pedido de Demissão,2024-01-01,diretor de criacao
janeiro,2024,148-97-5663,Benedick Ead,Dispensa sem Justa Causa,2024-07-18,executivo de contas
dezembro,2024,883-67-8783,Jobey Meuse,Pedido de Demissão,2024-03-17,coordenador de midia
maio,2024,134-98-5779,Nils Grotty,Dispensa sem Justa Causa,2024-01-02,supervisor de planejamento
maio,2024,403-77-2797,Lauryn Whelband,Pedido de Demissão,2024-03-18,coordenador de midia
abril,2024,751-77-5743,Maddi Birtchnell,Dispensa sem Justa Causa,2024-10-29,supervisor de planejamento
agosto,2024,801-17-4999,Lorraine Casham,Dispensa sem Justa Causa,2024-03-01,coordenador de midia
maio,2024,428-78-8591,Chancey Gounet,Pedido de Demissão,2024-09-20,gerente de negocios
outubro,2024,798-43-7897,Cornelle Broske,Pedido de Demissão,2024-04-29,coordenador de midia
agosto,2024,936-93-8005,Hayden Cordner,Pedido de Demissão,2024-08-18,supervisor de planejamento
