mes referencia        ano referencia        nome        área        nome do gestor        data inicio        data termino        Quant. Dias
janeiro        2023        Cherrita Gamwell        experience        Topicshots        7/18/2023        1/4/2024        1
novembro        2023        Verla McLaughlan        negócios        Demimbu        4/19/2023        1/8/2024        25
maio        2023        Clemence Cullum        facilities cardinia        Jayo        10/29/2023        12/18/2023        10
janeiro        2024        Wenona Houston        cultura e talentos        Devpoint        9/23/2023        6/4/2023        21
dezembro        2024        Merola Seear        produção        Eayo        11/22/2023        7/18/2023        0
maio        2024        Othello Birtley        cardinia facilities        DabZ        5/20/2023        5/22/2023        14
maio        2023        Robena De Lacey        criação        Meezzy        8/12/2023        7/5/2023        18
janeiro        2023        Dunc Lordon        negócios        Avamm        12/30/2023        8/16/2023        12
janeiro        2024        Marla Mordin        cultura e talentos        Gigaclub        12/15/2023        8/10/2023        29
janeiro        2023        Cheston Fetters        experience        Rhybox        9/17/2023        5/8/2023        11
maio        2023        Daveen MacShirrie        cardinia facilities        Youopia        5/23/2023        6/3/2023        21
maio        2023        Meyer Judge        criação        Photolist        4/30/2023        7/17/2023        15
janeiro        2024        Port Bentall        experience        Browsedrive        11/20/2023        7/26/2023        9
novembro        2024        Jonathan Gulliver        negócios        Buzzbean        9/15/2023        11/25/2023        12
maio        2024        Sandra Bratt        experience        Yodoo        7/27/2023        10/13/2023        1
janeiro        2024        Benetta MacGruer        planejamento        Geba        5/23/2023        4/30/2023        2
novembro        2024        Charyl Lille        planejamento        LiveZ        4/8/2023        8/20/2023        14
maio        2024        Lizzie Ridger        facilities cardinia        Tazzy        1/25/2024        12/9/2023        23
maio        2023        Ingamar O'Deegan        cultura e talentos        Feedbug        5/25/2023        1/7/2024        12
maio        2023        Aurel Potteridge        produção        Shufflebeat        7/5/2023        8/10/2023        4
novembro        2023        Edita Meader        produção        Thoughtmix        12/18/2023        5/29/2023        13
maio        2023        Blake Ilyinykh        planejamento        Kare        5/12/2023        7/8/2023        11
maio        2023        Daniella Learman        negócios        JumpXS        1/18/2024        1/30/2024        26
dezembro        2024        Darius Alonso        negócios        Roombo        5/15/2023        11/12/2023        22
dezembro        2024        Mariska Stanbridge        planejamento        Vimbo        10/5/2023        9/10/2023        21
novembro        2023        Dorthea Theyer        cultura e talentos        Skipfire        9/16/2023        11/23/2023        20
maio        2023        Anna-diana Wingate        cultura e talentos        Livetube        7/28/2023        5/1/2023        20
maio        2024        Elora Steanson        facilities cardinia        Realbridge        1/21/2024        1/3/2024        18
janeiro        2024        Laurie Blackborn        midia        Skilith        11/1/2023        5/3/2023        29
janeiro        2023        Ynez Ickovitz        experience        Tagchat        10/6/2023        11/29/2023        22
janeiro        2023        Nari Melliard        negócios        Browseblab        6/19/2023        11/3/2023        16
novembro        2023        Myles Abraham        criação        Vinte        10/1/2023        4/7/2023        6
janeiro        2024        Dacy Kemer        facilities cardinia        Skajo        8/11/2023        11/9/2023        25
maio        2024        Reeba Petkov        produção        Gigazoom        8/26/2023        12/16/2023        17
dezembro        2023        Stephana Byforth        experience        InnoZ        7/7/2023        4/14/2023        23
novembro        2023        Ray Tumioto        cultura e talentos        Quatz        10/27/2023        11/13/2023        29
novembro        2024        Thomasina Sweatland        criação        Twitterbeat        11/16/2023        4/30/2023        27
janeiro        2023        Man Clemence        cultura e talentos        Photobug        8/5/2023        4/15/2023        15
janeiro        2023        Raymund Blackwell        produção        Cogilith        11/30/2023        10/21/2023        11
novembro        2024        Godfree Gladwell        cardinia facilities        Myworks        6/24/2023        1/25/2024        7
maio        2023        Vanda Lovekin        produção        Vinder        7/1/2023        11/26/2023        18
janeiro        2023        Jeni Renad        criação        Thoughtblab        6/21/2023        6/13/2023        12
novembro        2023        Yorgos Aulds        cultura e talentos        Gabtype        9/22/2023        12/3/2023        17
novembro        2024        Joanie Gaywood        cultura e talentos        Mudo        12/10/2023        6/27/2023        18
maio        2023        Huntington Puvia        planejamento        Ooba        8/22/2023        4/30/2023        2
janeiro        2023        Roscoe Buss        planejamento        Tagcat        11/23/2023        4/27/2023        23
maio        2024        Eduardo Jentgens        experience        Kazio        5/16/2023        6/4/2023        17
janeiro        2023        Cletus Beden        experience        Shufflester        9/1/2023        1/18/2024        10
dezembro        2023        Arther Garvey        criação        Eabox        9/10/2023        5/24/2023        4
dezembro        2023        Westbrook Brayfield        planejamento        Yambee        6/7/2023        10/27/2023        22
maio        2024        Bree MacMearty        produção        Skyba        1/29/2024        1/29/2024        10
janeiro        2023        Wilie Vogeller        negócios        Photojam        7/7/2023        12/10/2023        26
novembro        2024        Junia Swanbourne        negócios        Digitube        1/3/2024        5/12/2023        12
dezembro        2023        Allene Samweyes        midia        Mydeo        5/23/2023        12/2/2023        15
novembro        2024        Devin Darkott        criação        Brainsphere        11/12/2023        5/29/2023        15
dezembro        2023        Melania Maddox        negócios        Kazu        9/2/2023        9/26/2023        2
maio        2023        Carlye Rollitt        negócios        Rhyloo        11/5/2023        10/18/2023        23
dezembro        2024        Hollie Cheese        facilities cardinia        Dabshots        6/16/2023        9/4/2023        13
novembro        2024        Vere Pendergast        criação        Rhyzio        9/20/2023        6/15/2023        3
maio        2024        Mace Enterlein        criação        Chatterpoint        9/30/2023        5/17/2023        9
janeiro        2024        Alfreda Lahy        cardinia facilities        Meevee        5/14/2023        8/30/2023        25
dezembro        2023        Adrianne Hartrick        criação        Yoveo        4/29/2023        1/30/2024        28
novembro        2023        Meyer Yabsley        criação        Innojam        8/28/2023        12/14/2023        26
dezembro        2023        Granny Aveline        cultura e talentos        Voonyx        7/4/2023        5/11/2023        1
novembro        2023        Shanta Hebborn        planejamento        Tavu        7/10/2023        7/2/2023        18
janeiro        2023        Rog Please        produção        Centimia        9/8/2023        7/24/2023        22
janeiro        2024        Aurelea Crosser        cultura e talentos        Mymm        7/4/2023        1/4/2024        13
janeiro        2024        Garrett Nellis        experience        Tagtune        6/17/2023        5/15/2023        6
dezembro        2023        Euphemia Skelding        planejamento        DabZ        1/6/2024        8/29/2023        21
janeiro        2024        Odilia Karoly        criação        Dynava        10/9/2023        1/26/2024        23
maio        2023        Alia Swire        planejamento        Yodel        1/1/2024        8/29/2023        16
janeiro        2024        Elroy Golland        midia        Browsezoom        1/28/2024        9/9/2023        21
novembro        2023        Collin Bradborne        cultura e talentos        Dynava        7/1/2023        5/27/2023        26
novembro        2024        Tailor Lindenman        produção        Shuffletag        4/17/2023        10/2/2023        5
dezembro        2023        Krishnah Cowdry        produção        Gigazoom        5/25/2023        7/13/2023        7
janeiro        2024        Josi Morde        cardinia facilities        Feednation        1/12/2024        4/21/2023        3
dezembro        2023        Nariko Dudmarsh        facilities cardinia        Youbridge        7/8/2023        4/15/2023        11
novembro        2024        Darcee Gromley        planejamento        Wikido        7/19/2023        10/3/2023        9
novembro        2024        Clare Tansly        midia        Jabbersphere        8/28/2023        10/1/2023        16
janeiro        2023        Kristian Doulton        experience        Yoveo        1/31/2024        6/6/2023        9
dezembro        2023        Mary Tuiller        negócios        Avamba        10/29/2023        4/18/2023        1
novembro        2023        Gwendolin Caddock        cardinia facilities        Centimia        9/8/2023        4/16/2023        27
maio        2024        Catherine Thon        produção        Devpulse        5/5/2023        6/19/2023        6
maio        2023        Devland Georgeau        facilities cardinia        Shuffledrive        9/22/2023        1/30/2024        9
maio        2024        Leigh Creasy        criação        Pixonyx        5/19/2023        7/19/2023        26
maio        2023        Kathe Rogge        cardinia facilities        Jaloo        8/4/2023        5/30/2023        14
maio        2023        Harris Daymont        planejamento        Fatz        11/4/2023        1/30/2024        24
novembro        2023        Turner Balshen        criação        Chatterpoint        5/10/2023        8/27/2023        9
maio        2024        Abdel Vasey        cardinia facilities        Photobean        5/14/2023        7/21/2023        30
dezembro        2024        Shaine Marushak        experience        Eare        4/13/2023        6/29/2023        10
janeiro        2024        Livy Cragoe        facilities cardinia        Meedoo        1/8/2024        8/2/2023        26
maio        2024        Devland Dioniso        midia        Twitterbeat        11/4/2023        12/23/2023        7
dezembro        2023        Brooks Gogin        facilities cardinia        Leenti        4/29/2023        12/19/2023        5
novembro        2023        Bernie Rapps        midia        Voonder        4/18/2023        10/7/2023        18
novembro        2023        Cooper Baldwin        facilities cardinia        Tanoodle        11/13/2023        6/24/2023        13
novembro        2024        Georas Dunphy        produção        Zoombeat        7/9/2023        4/26/2023        25
dezembro        2024        Ninette Johantges        planejamento        Chatterbridge        11/8/2023        11/7/2023        8
janeiro        2024        Darsie Rosenfelder        cultura e talentos        Aimbo        10/28/2023        5/4/2023        28
novembro        2023        Karrah Ox        cultura e talentos        Avamba        9/11/2023        9/8/2023        23
maio        2023        Vivien Slimm        produção        Quaxo        7/10/2023        7/11/2023        16
maio        2024        Sheffie Kettlestringe        negócios        Flashdog        6/14/2023        7/10/2023        16
dezembro        2024        Page Mogra        cardinia facilities        Tazz        11/18/2023        10/5/2023        28
dezembro        2023        Jacques Grishin        cardinia facilities        Skyba        12/28/2023        11/3/2023        9
novembro        2024        Ilise Gannicleff        facilities cardinia        Yakidoo        1/8/2024        6/1/2023        16
dezembro        2023        Eva Bolesworth        produção        Abatz        7/10/2023        10/2/2023        9
maio        2024        Corrina Petric        produção        Abata        5/4/2023        1/23/2024        14
maio        2023        Courtney Absolon        produção        Vitz        9/21/2023        9/8/2023        14
novembro        2024        Saunders Peirpoint        produção        Digitube        12/16/2023        11/5/2023        8
janeiro        2023        Kipp Crossland        negócios        Babbleset        9/22/2023        6/19/2023        29
dezembro        2024        Brig Orrett        midia        Zava        9/5/2023        1/22/2024        20
novembro        2024        Vincent Haker        facilities cardinia        Flipopia        1/15/2024        5/21/2023        17
novembro        2023        Edie Bendley        experience        Gabspot        1/17/2024        9/26/2023        27
janeiro        2024        Wallie Losbie        midia        Wikibox        6/11/2023        8/24/2023        11
maio        2024        Minetta Storch        planejamento        Browseblab        5/31/2023        8/3/2023        6
maio        2024        Karmen Checcucci        produção        Tazz        4/12/2023        6/3/2023        13
novembro        2024        Solly Croley        midia        Zoozzy        10/15/2023        12/4/2023        7
dezembro        2023        Isaak MacPhee        produção        Dazzlesphere        12/14/2023        7/23/2023        15
dezembro        2023        Nanni Dragonette        facilities cardinia        Dynabox        11/21/2023        7/16/2023        20
dezembro        2024        Elisha MacConnel        midia        Yata        11/4/2023        8/19/2023        2
maio        2024        Jeri Bunkle        produção        Tazzy        1/16/2024        1/8/2024        18
novembro        2023        Gun Fredi        cardinia facilities        Cogidoo        5/27/2023        6/5/2023        0
novembro        2023        Crystal Vasyunkin        produção        Voonder        12/8/2023        4/22/2023        12
janeiro        2024        Kandace Prosh        cardinia facilities        Devshare        11/8/2023        4/23/2023        29
novembro        2024        Silvano McCarly        produção        Cogilith        12/28/2023        9/6/2023        18
janeiro        2023        Olivero Smails        cardinia facilities        Tanoodle        9/25/2023        5/7/2023        6
dezembro        2023        Dexter Leonida        produção        Centimia        1/9/2024        7/30/2023        9
janeiro        2023        Elianora Edmett        produção        Skyba        11/15/2023        7/20/2023        20
janeiro        2024        Minny Vinecombe        facilities cardinia        Jaloo        4/8/2023        1/25/2024        15
dezembro        2024        Brena Handscomb        facilities cardinia        Cogidoo        11/4/2023        12/7/2023        19
novembro        2024        Gregoor Lints        cardinia facilities        Photojam        11/17/2023        6/29/2023        8
novembro        2023        Petey Valde        cultura e talentos        Omba        7/7/2023        1/31/2024        1
janeiro        2023        Herminia Edmand        produção        Npath        10/10/2023        1/1/2024        18
dezembro        2024        Ashley Nelthorp        planejamento        Brainverse        5/13/2023        1/11/2024        20
maio        2023        Federico Hanretty        cardinia facilities        Rhybox        10/1/2023        1/29/2024        26
janeiro        2023        Agatha Dollimore        midia        Vitz        9/8/2023        6/26/2023        30
dezembro        2023        Wilona Leyband        cardinia facilities        Kare        4/14/2023        9/22/2023        4
novembro        2023        Loralee Grinikhinov        negócios        Meetz        11/24/2023        6/17/2023        18
janeiro        2024        Andrey Shewring        criação        Vipe        10/20/2023        1/11/2024        20
maio        2024        Kathryne Lezemere        experience        Skidoo        10/18/2023        12/17/2023        4
dezembro        2024        Aline Simkin        cultura e talentos        Eayo        8/12/2023        4/15/2023        12
janeiro        2024        Karie Currom        cultura e talentos        Roodel        10/11/2023        4/22/2023        2
dezembro        2023        Barrett Considine        planejamento        Browseblab        4/16/2023        8/17/2023        10
maio        2023        Gaston Dawton        facilities cardinia        Photolist        1/31/2024        12/20/2023        10
janeiro        2024        Sarette Casino        produção        Ainyx        11/11/2023        1/5/2024        10
maio        2023        Carroll Dupre        cardinia facilities        Feedfire        9/15/2023        1/8/2024        30
maio        2024        Perceval Lyne        facilities cardinia        Twitterwire        1/13/2024        9/24/2023        30
janeiro        2024        Marlo Fassum        cultura e talentos        Mudo        11/25/2023        6/27/2023        22
janeiro        2024        Aurelie Carragher        negócios        Meevee        7/23/2023        11/15/2023        3
novembro        2023        Isaiah Bolzmann        experience        Gabcube        10/5/2023        4/29/2023        13
janeiro        2023        Claribel Catlette        produção        Twitterworks        8/28/2023        12/13/2023        1
novembro        2024        Lyndsay Sephton        planejamento        Jaxspan        12/3/2023        10/23/2023        13
dezembro        2024        Suzy Houlson        midia        Skimia        5/15/2023        5/19/2023        7
dezembro        2023        Audrye MacDearmont        cultura e talentos        Linkbuzz        10/1/2023        11/24/2023        1
janeiro        2023        Lydon Overnell        experience        Gabtype        9/9/2023        1/11/2024        17
maio        2024        Isis Lickorish        cultura e talentos        Jabbercube        4/7/2023        8/21/2023        26
novembro        2024        Luca Treasure        facilities cardinia        Quatz        8/14/2023        9/11/2023        26
janeiro        2024        Lorin Higford        cardinia facilities        Zoombeat        8/16/2023        4/7/2023        15
dezembro        2023        Nanete Matkovic        negócios        Skiba        12/1/2023        11/27/2023        19
dezembro        2024        Felipe Valentino        experience        Ozu        10/23/2023        5/6/2023        28
janeiro        2023        Davina Antonchik        cultura e talentos        Youbridge        10/15/2023        6/8/2023        19
janeiro        2024        Henriette Caygill        planejamento        InnoZ        11/14/2023        9/7/2023        3
janeiro        2024        Obed Castles        cardinia facilities        Zoomlounge        11/4/2023        11/12/2023        10
janeiro        2023        Lissie Mersh        facilities cardinia        Aivee        5/8/2023        11/4/2023        28
janeiro        2024        Shaine Robbie        planejamento        Janyx        7/4/2023        1/12/2024        2
novembro        2024        Kyle Redsall        experience        Kaymbo        10/28/2023        6/30/2023        10
janeiro        2024        Hoebart Domenicone        midia        Layo        12/28/2023        6/7/2023        30
janeiro        2024        Danica Smewin        planejamento        Flipstorm        11/16/2023        5/27/2023        21
dezembro        2024        Fawne Thornbarrow        criação        Zoomcast        11/6/2023        12/8/2023        10
janeiro        2024        Markos Glyn        produção        Tavu        7/20/2023        1/9/2024        2
novembro        2023        Rozelle Sprull        produção        Teklist        5/19/2023        6/24/2023        6
novembro        2024        Shea Krolik        cardinia facilities        Fliptune        9/23/2023        10/13/2023        4
dezembro        2023        Hilary McFadzean        cardinia facilities        Babblestorm        10/10/2023        11/22/2023        9
janeiro        2023        Justina McGroarty        negócios        Voomm        9/14/2023        12/1/2023        18
novembro        2023        Patrica Pendrich        cultura e talentos        Twitterbridge        4/23/2023        12/2/2023        25
maio        2024        Wenda Abelov        experience        Yakidoo        1/11/2024        9/13/2023        16
novembro        2024        Ara Wingate        experience        Divavu        11/28/2023        8/11/2023        5
maio        2023        Delinda Baldoni        cultura e talentos        Youtags        5/3/2023        1/7/2024        5
dezembro        2024        Hortensia Rowes        midia        Lazzy        9/4/2023        12/17/2023        17
dezembro        2023        Sean Melluish        cardinia facilities        Abata        10/18/2023        8/31/2023        2
dezembro        2023        Harris Fanstone        cultura e talentos        Flashdog        8/29/2023        12/14/2023        10
maio        2023        Ronnie Midgley        cultura e talentos        Brainverse        4/18/2023        5/2/2023        24
janeiro        2024        Mordy Dutt        experience        Eadel        7/7/2023        12/9/2023        28
maio        2024        Elfie Bragger        produção        Livepath        11/29/2023        10/22/2023        13
dezembro        2024        Michaeline Bilsland        criação        Cogibox        7/27/2023        5/2/2023        3
maio        2024        Alfi Redwing        cultura e talentos        Skyble        9/29/2023        8/29/2023        29
maio        2024        Immanuel Campes        criação        Dabvine        8/12/2023        12/25/2023        21
maio        2023        Jeanette Marchenko        facilities cardinia        Mudo        9/3/2023        8/1/2023        8
novembro        2024        Libby Barnewelle        produção        Brainlounge        4/9/2023        1/8/2024        2
dezembro        2024        Ivory Levett        produção        Demizz        6/18/2023        11/21/2023        27
janeiro        2024        Bastien Arrighini        negócios        Realfire        5/8/2023        9/4/2023        4
maio        2023        Benedick Kilduff        cultura e talentos        Tanoodle        12/11/2023        8/8/2023        21
dezembro        2024        Gavan Stockau        negócios        Livetube        11/29/2023        11/6/2023        20
maio        2023        Tish Shoutt        midia        Eabox        10/21/2023        6/4/2023        5
janeiro        2024        Kellina Nolli        cardinia facilities        Teklist        9/30/2023        6/12/2023        20
maio        2024        Morty Gussie        facilities cardinia        Skibox        7/10/2023        8/19/2023        14
janeiro        2023        Delphinia Valance        experience        Jamia        11/15/2023        11/20/2023        11
janeiro        2024        Giulio Woollons        planejamento        Topicstorm        1/27/2024        12/14/2023        29
novembro        2023        Nydia Thirkettle        negócios        Photobug        1/13/2024        8/2/2023        4
maio        2024        Jarred Souster        negócios        Gevee        8/22/2023        4/7/2023        10
novembro        2023        Gunther Hazael        cultura e talentos        Livefish        1/28/2024        11/17/2023        0
dezembro        2023        Carlee Ewells        cultura e talentos        Browsezoom        7/7/2023        12/21/2023        26
novembro        2023        Carlina Schach        negócios        Gevee        9/11/2023        5/17/2023        20
janeiro        2024        Natalya Owttrim        experience        Blogtag        1/19/2024        1/30/2024        30
dezembro        2023        Enrika Louden        midia        Camimbo        11/11/2023        4/21/2023        18
maio        2023        Hector Maudlin        cardinia facilities        Katz        11/3/2023        8/16/2023        23
janeiro        2023        Lorianne Tarren        negócios        Eadel        5/5/2023        11/12/2023        13
janeiro        2024        Twila de Werk        cultura e talentos        Tazz        12/28/2023        11/20/2023        11
maio        2024        Vito Burdass        cardinia facilities        Voonyx        4/12/2023        12/4/2023        23
maio        2024        Janka Wildin        experience        Ntags        10/14/2023        12/11/2023        16
dezembro        2024        Russ Bute        midia        Ooba        11/4/2023        11/21/2023        16
novembro        2023        Wesley Braun        cardinia facilities        Photolist        6/11/2023        1/5/2024        3
maio        2023        Jodie Malzard        produção        Pixonyx        1/22/2024        10/20/2023        21
novembro        2023        Jefferey Taplin        criação        Buzzdog        9/25/2023        12/9/2023        29
novembro        2024        Stan Somers        experience        Quatz        4/10/2023        10/15/2023        0
novembro        2024        Marchall Valente        cultura e talentos        Kazio        6/20/2023        4/27/2023        27
dezembro        2023        Kimball Romaines        criação        Vitz        6/15/2023        6/17/2023        7
janeiro        2024        Damaris Chainey        experience        Topicblab        11/23/2023        6/29/2023        10
maio        2024        Doralia Swatton        criação        Quinu        5/3/2023        10/24/2023        14
novembro        2023        Alli Karpinski        experience        JumpXS        5/4/2023        5/16/2023        16
dezembro        2024        Juanita Myhan        experience        Babblestorm        1/9/2024        1/31/2024        10
maio        2024        Erny Goodbarne        experience        Teklist        5/17/2023        12/6/2023        15
novembro        2024        Cletis Britney        criação        Zoonder        10/8/2023        8/10/2023        9
maio        2024        Engracia Sarvar        cardinia facilities        Meeveo        9/25/2023        7/17/2023        29
maio        2023        Alberta Ibotson        midia        Gevee        1/26/2024        10/9/2023        25
janeiro        2023        Flori Alejandre        planejamento        Dabjam        9/9/2023        6/8/2023        14
dezembro        2023        Avis Holah        planejamento        Leexo        5/30/2023        1/14/2024        0
janeiro        2023        Nealson Costen        experience        Kwimbee        5/18/2023        5/10/2023        28
dezembro        2023        Nonnah Leaming        planejamento        Gabcube        5/7/2023        6/12/2023        29
janeiro        2023        Elias Laurencot        experience        Edgeify        11/16/2023        8/21/2023        23
dezembro        2024        Rodolph Knapper        facilities cardinia        Snaptags        6/16/2023        11/2/2023        0
novembro        2024        Channa Goracci        facilities cardinia        Eayo        12/9/2023        11/24/2023        27
novembro        2024        Salome Warhurst        criação        Wikido        12/15/2023        5/25/2023        17
novembro        2023        Town Roggero        cardinia facilities        Dabfeed        10/31/2023        1/26/2024        7
novembro        2023        Ashlan Brower        planejamento        Agimba        7/29/2023        5/16/2023        9
maio        2024        Town Castellini        cultura e talentos        Kare        8/11/2023        6/8/2023        0
maio        2024        Latrena Normavill        facilities cardinia        Npath        4/19/2023        6/28/2023        8
novembro        2023        Tania Nolan        criação        Realmix        5/23/2023        11/12/2023        2
maio        2023        Georgy O'Kielt        planejamento        Eayo        12/1/2023        10/14/2023        11
novembro        2024        Marie Beachem        negócios        Avaveo        1/10/2024        11/21/2023        9
dezembro        2023        Lynett Traill        planejamento        Kwilith        9/2/2023        1/5/2024        2
maio        2024        Fitzgerald Elsmore        cultura e talentos        Quaxo        7/6/2023        7/12/2023        0
janeiro        2023        Isidore Eathorne        planejamento        Vitz        10/15/2023        11/16/2023        8
dezembro        2024        Ethelbert Betke        negócios        Zoomcast        7/13/2023        12/9/2023        15
maio        2024        Samuele Vasyanin        produção        Jayo        5/12/2023        1/25/2024        13
dezembro        2024        Burr Wethey        experience        Ooba        5/5/2023        5/9/2023        3
dezembro        2023        Ernaline Ramsdale        experience        Skipstorm        11/16/2023        6/16/2023        30
dezembro        2024        Madalena Pachmann        criação        Eire        12/24/2023        11/7/2023        10
janeiro        2023        Vivia Yurchishin        midia        Skinte        8/20/2023        12/10/2023        24
novembro        2023        Camile Gumby        midia        Vidoo        9/5/2023        10/20/2023        7
novembro        2024        Wilhelmine Linguard        criação        Dazzlesphere        8/22/2023        8/24/2023        0
novembro        2023        Fawne Kowal        planejamento        Aivee        11/25/2023        9/24/2023        30
dezembro        2024        Geralda Tingle        experience        Dynava        1/4/2024        9/18/2023        12
janeiro        2024        Dino Kitchingham        produção        Zoomlounge        6/30/2023        1/6/2024        29
maio        2023        Zea Benyon        criação        Chatterpoint        8/4/2023        7/8/2023        19
janeiro        2024        Wilie Atwel        facilities cardinia        Vinte        6/5/2023        1/23/2024        30
maio        2024        Ahmad Hann        planejamento        Trunyx        9/1/2023        6/23/2023        1
dezembro        2024        Eddie Hardern        midia        Photolist        4/17/2023        9/15/2023        7
novembro        2023        Mason Mennell        cardinia facilities        JumpXS        8/25/2023        5/20/2023        30
maio        2023        Cece Dronsfield        midia        Tazz        4/14/2023        11/9/2023        13
novembro        2024        Fallon Gretham        criação        Thoughtblab        10/12/2023        10/6/2023        17
dezembro        2024        Leonid Pedri        cardinia facilities        Jayo        7/20/2023        5/2/2023        4
dezembro        2024        Domini Georgievski        cultura e talentos        Linktype        10/8/2023        7/1/2023        22
maio        2023        Diann Franceschielli        experience        Divavu        12/31/2023        4/7/2023        23
novembro        2024        Linette Oxtoby        cardinia facilities        Buzzdog        1/19/2024        5/14/2023        27
novembro        2023        Dela Denisovich        experience        Zooveo        9/13/2023        11/24/2023        13
novembro        2024        Cherey Holyland        midia        Skiptube        1/12/2024        9/25/2023        11
janeiro        2023        Hagen Vowels        produção        Vipe        5/17/2023        9/12/2023        5
maio        2023        Donnajean Probey        criação        Mita        5/26/2023        12/31/2023        22
maio        2024        Harbert Seivertsen        midia        Mymm        7/11/2023        10/29/2023        20
janeiro        2024        Jeffy Delucia        cardinia facilities        Oyope        11/11/2023        9/25/2023        5
dezembro        2024        Annmarie Heggadon        facilities cardinia        Flipopia        11/17/2023        8/29/2023        6
janeiro        2023        Phyllis Najera        produção        Twimbo        10/8/2023        10/4/2023        15
janeiro        2024        Ansel Callcott        negócios        Mymm        7/12/2023        12/26/2023        17
dezembro        2023        Alford Rodders        midia        Skynoodle        6/7/2023        7/17/2023        15
novembro        2023        Tomasina Elston        negócios        Eire        4/5/2023        1/10/2024        16
janeiro        2023        Carlita Kasparski        cardinia facilities        Dynabox        4/17/2023        8/4/2023        26
janeiro        2023        Ailee Bugdell        experience        Edgeblab        10/27/2023        5/20/2023        26
dezembro        2023        Bernetta D'Agostino        produção        Feedfish        12/19/2023        11/6/2023        12
maio        2024        Emmy Longfield        experience        Skinix        7/3/2023        8/10/2023        0
dezembro        2023        Pammi Poate        cultura e talentos        Riffpedia        11/24/2023        10/28/2023        11
janeiro        2024        Angel Dorney        produção        Dabtype        11/7/2023        9/11/2023        21
dezembro        2023        Ricki Aubin        facilities cardinia        Latz        7/28/2023        9/2/2023        20
dezembro        2024        Kirstin Marcroft        experience        Voomm        7/24/2023        9/7/2023        10
maio        2023        Fransisco Huygen        negócios        Eadel        1/25/2024        8/28/2023        17
maio        2023        Orazio Arlt        cultura e talentos        Youbridge        12/1/2023        5/28/2023        24
janeiro        2024        Welsh Tavernor        negócios        Yata        9/14/2023        10/11/2023        12
dezembro        2024        Lynsey Labell        midia        Cogibox        11/9/2023        7/19/2023        16
maio        2024        Lion Peperell        midia        Edgetag        7/23/2023        5/31/2023        12
maio        2024        Lorrie Malin        produção        Skippad        5/3/2023        4/9/2023        24
novembro        2023        Wright Tripp        negócios        Layo        11/23/2023        5/4/2023        23
novembro        2024        Tobias Elmes        planejamento        Voomm        11/23/2023        9/5/2023        25
dezembro        2023        Codee Gumbley        cardinia facilities        Skimia        5/13/2023        9/13/2023        26
dezembro        2023        Carmel Orgee        planejamento        Jazzy        4/29/2023        12/3/2023        19
novembro        2024        Sarajane Maddern        negócios        BlogXS        11/24/2023        7/22/2023        23
janeiro        2024        Forrester Fredy        criação        Realfire        8/7/2023        12/30/2023        11
janeiro        2024        Vernice Kropach        criação        Latz        1/6/2024        12/10/2023        29
janeiro        2024        Tish Wickendon        cultura e talentos        Skajo        10/9/2023        4/19/2023        16
dezembro        2024        Christye Andrat        criação        Youopia        1/4/2024        5/17/2023        30
novembro        2023        Guss Concklin        criação        Jatri        9/21/2023        5/19/2023        25
janeiro        2023        Kakalina Clayhill        produção        Trilith        7/1/2023        5/7/2023        5
novembro        2024        Alexandros Masham        facilities cardinia        Wordpedia        1/20/2024        4/28/2023        10
maio        2024        Melita Mityushin        facilities cardinia        Trunyx        12/17/2023        1/18/2024        23
janeiro        2024        Xymenes Elden        midia        Gigaclub        8/14/2023        9/14/2023        13
maio        2024        Bunni Fforde        facilities cardinia        Skynoodle        5/15/2023        7/9/2023        29
dezembro        2023        Gaylord Armstead        produção        Myworks        1/21/2024        8/24/2023        29
novembro        2023        Corby Kliment        facilities cardinia        Rhyloo        8/18/2023        7/5/2023        7
dezembro        2023        Regen Eldin        cardinia facilities        Npath        12/29/2023        6/25/2023        13
novembro        2023        Glyn Trenouth        produção        Flipstorm        9/24/2023        9/20/2023        20
novembro        2024        Sadie Quarrie        criação        Tambee        8/31/2023        6/1/2023        10
dezembro        2023        Arturo Wais        negócios        Edgeblab        10/27/2023        6/14/2023        14
dezembro        2024        Wynnie Bolens        facilities cardinia        Shufflebeat        1/27/2024        1/25/2024        27
dezembro        2023        Taddeusz McTeggart        experience        Mybuzz        12/10/2023        4/24/2023        12
novembro        2023        Jocelyne Folger        cultura e talentos        Shufflebeat        6/9/2023        7/29/2023        23
novembro        2024        Roddie Tarpey        cardinia facilities        Rhynyx        10/13/2023        6/28/2023        23
dezembro        2024        Onfre Kildea        facilities cardinia        Zooxo        4/7/2023        1/13/2024        18
novembro        2024        Lacie Klimowicz        facilities cardinia        Gigabox        8/1/2023        1/31/2024        16
dezembro        2023        Ninnette Sickert        midia        Browsetype        10/9/2023        6/23/2023        5
janeiro        2023        Octavia GiacobbiniJacob        produção        Twitterwire        1/20/2024        5/11/2023        16
janeiro        2023        Neille Malkie        cardinia facilities        Roomm        10/9/2023        12/17/2023        14
dezembro        2023        Wenda Iacovaccio        produção        Ntags        12/3/2023        8/1/2023        30
novembro        2023        Christopher Brant        produção        Brightdog        1/23/2024        12/19/2023        9
novembro        2024        Meade Kingerby        experience        Voonder        1/31/2024        10/18/2023        19
maio        2023        Cleopatra Batey        planejamento        Jabberbean        8/5/2023        8/23/2023        6
